Second,Volt
-3.88940000534,0.04800,
-3.88919997215,0.05200,
-3.88899993896,0.04400,
-3.88879990578,0.05600,
-3.88859987259,0.04000,
-3.88839983940,0.05600,
-3.88819980621,0.04800,
-3.88800001144,0.05200,
-3.88779997826,0.05200,
-3.88759994507,0.05200,
-3.88739991188,0.05200,
-3.88719987869,0.04800,
-3.88699984550,0.04800,
-3.88679981232,0.04800,
-3.88660001755,0.04400,
-3.88639998436,0.05600,
-3.88619995117,0.04800,
-3.88599991798,0.06800,
-3.88579988480,0.05200,
-3.88559985161,0.06000,
-3.88539981842,0.07200,
-3.88519978523,0.03600,
-3.88499999046,0.07200,
-3.88479995728,0.05600,
-3.88459992409,0.04800,
-3.88439989090,0.04800,
-3.88419985771,0.05200,
-3.88399982452,0.04800,
-3.88379979134,0.05200,
-3.88359999657,0.05600,
-3.88339996338,0.05200,
-3.88319993019,0.04800,
-3.88299989700,0.04800,
-3.88279986382,0.05200,
-3.88259983063,0.04800,
-3.88239979744,0.04800,
-3.88220000267,0.04800,
-3.88199996948,0.04800,
-3.88179993629,0.04800,
-3.88159990311,0.04800,
-3.88139986992,0.04800,
-3.88119983673,0.04800,
-3.88099980354,0.04800,
-3.88080000877,0.05600,
-3.88059997559,0.05200,
-3.88039994240,0.05200,
-3.88019990921,0.06800,
-3.87999987602,0.07600,
-3.87979984283,0.06800,
-3.87959980965,0.05600,
-3.87940001488,0.05600,
-3.87919998169,0.05600,
-3.87899994850,0.04800,
-3.87879991531,0.05200,
-3.87859988213,0.05600,
-3.87839984894,0.04800,
-3.87819981575,0.04800,
-3.87800002098,0.05200,
-3.87779998779,0.05600,
-3.87759995461,0.07600,
-3.87739992142,0.05600,
-3.87719988823,0.05200,
-3.87699985504,0.03600,
-3.87679982185,0.04400,
-3.87659978867,0.04800,
-3.87639999390,0.04400,
-3.87619996071,0.04800,
-3.87599992752,0.04800,
-3.87579989433,0.05600,
-3.87559986115,0.04800,
-3.87539982796,0.04800,
-3.87519979477,0.04800,
